.
WiFi connected
IP address: 
192.168.100.11
Scanning...
RSSI -53.00
KALMAN -53.00
RSSI -54.00
KALMAN -53.00
RSSI -49.00
KALMAN -53.00
RSSI -50.00
KALMAN -53.00
RSSI -49.00
KALMAN -52.99
RSSI -50.00
KALMAN -52.99
RSSI -51.00
KALMAN -52.99
RSSI -55.00
KALMAN -52.99
RSSI -47.00
KALMAN -52.99
RSSI -53.00
KALMAN -52.99
RSSI -52.00
KALMAN -52.98
RSSI -50.00
KALMAN -52.98
RSSI -48.00
KALMAN -52.97
RSSI -51.00
KALMAN -52.97
RSSI -50.00
KALMAN -52.96
RSSI -48.00
KALMAN -52.95
RSSI -47.00
KALMAN -52.94
RSSI -49.00
KALMAN -52.93
RSSI -49.00
KALMAN -52.92
RSSI -48.00
KALMAN -52.91
RSSI -48.00
KALMAN -52.90
RSSI -49.00
KALMAN -52.89
RSSI -50.00
KALMAN -52.88
RSSI -51.00
KALMAN -52.87
RSSI -53.00
KALMAN -52.87
RSSI -50.00
KALMAN -52.87
RSSI -55.00
KALMAN -52.87
RSSI -50.00
KALMAN -52.86
RSSI -49.00
KALMAN -52.85
RSSI -47.00
KALMAN -52.83
RSSI -50.00
KALMAN -52.82
RSSI -53.00
KALMAN -52.82
RSSI -49.00
KALMAN -52.80
RSSI -49.00
KALMAN -52.79
RSSI -47.00
KALMAN -52.76
RSSI -54.00
KALMAN -52.77
RSSI -47.00
KALMAN -52.74
RSSI -50.00
KALMAN -52.73
RSSI -54.00
KALMAN -52.74
RSSI -53.00
KALMAN -52.74
RSSI -48.00
KALMAN -52.72
RSSI -52.00
KALMAN -52.71
RSSI -53.00
KALMAN -52.71
RSSI -48.00
KALMAN -52.69
RSSI -48.00
KALMAN -52.67
RSSI -50.00
KALMAN -52.65
RSSI -49.00
KALMAN -52.63
RSSI -53.00
KALMAN -52.63
RSSI -53.00
KALMAN -52.64
RSSI -49.00
KALMAN -52.62
RSSI -49.00
KALMAN -52.59
RSSI -47.00
KALMAN -52.56
RSSI -49.00
KALMAN -52.54
RSSI -49.00
KALMAN -52.52
RSSI -51.00
KALMAN -52.51
RSSI -53.00
KALMAN -52.51
RSSI -47.00
KALMAN -52.48
RSSI -48.00
KALMAN -52.45
RSSI -48.00
KALMAN -52.42
RSSI -50.00
KALMAN -52.41
RSSI -50.00
KALMAN -52.39
RSSI -49.00
KALMAN -52.37
RSSI -50.00
KALMAN -52.35
RSSI -48.00
KALMAN -52.32
RSSI -48.00
KALMAN -52.29
RSSI -50.00
KALMAN -52.28
RSSI -49.00
KALMAN -52.25
RSSI -49.00
KALMAN -52.23
RSSI -56.00
KALMAN -52.26
RSSI -47.00
KALMAN -52.22
RSSI -50.00
KALMAN -52.20
RSSI -56.00
KALMAN -52.23
RSSI -49.00
KALMAN -52.21
RSSI -47.00
KALMAN -52.17
RSSI -54.00
KALMAN -52.18
RSSI -50.00
KALMAN -52.16
RSSI -49.00
KALMAN -52.14
RSSI -47.00
KALMAN -52.10
RSSI -46.00
KALMAN -52.05
RSSI -47.00
KALMAN -52.01
RSSI -50.00
KALMAN -51.99
RSSI -54.00
KALMAN -52.01
RSSI -47.00
KALMAN -51.97
RSSI -47.00
KALMAN -51.93
RSSI -49.00
KALMAN -51.91
RSSI -54.00
KALMAN -51.92
RSSI -54.00
KALMAN -51.94
RSSI -55.00
KALMAN -51.97
RSSI -49.00
KALMAN -51.94
RSSI -56.00
KALMAN -51.98
RSSI -49.00
KALMAN -51.95
RSSI -54.00
KALMAN -51.97
RSSI -49.00
KALMAN -51.94
RSSI -49.00
KALMAN -51.92
RSSI -48.00
KALMAN -51.88
RSSI -55.00
KALMAN -51.91
RSSI -47.00
KALMAN -51.87
RSSI -54.00
KALMAN -51.88
RSSI -49.00
KALMAN -51.86
RSSI -48.00
KALMAN -51.82
RSSI -49.00
KALMAN -51.80
RSSI -50.00
KALMAN -51.78
RSSI -54.00
KALMAN -51.80
RSSI -47.00
KALMAN -51.76
RSSI -54.00
KALMAN -51.78
RSSI -55.00
KALMAN -51.81
RSSI -48.00
KALMAN -51.77
RSSI -53.00
KALMAN -51.79
RSSI -53.00
KALMAN -51.80
RSSI -48.00
KALMAN -51.76
RSSI -48.00
KALMAN -51.73
RSSI -49.00
KALMAN -51.70
RSSI -54.00
KALMAN -51.72
RSSI -54.00
KALMAN -51.74
RSSI -49.00
KALMAN -51.72
RSSI -50.00
KALMAN -51.70
RSSI -47.00
KALMAN -51.66
RSSI -50.00
KALMAN -51.64
RSSI -48.00
KALMAN -51.60
RSSI -49.00
KALMAN -51.58
RSSI -49.00
KALMAN -51.55
RSSI -48.00
KALMAN -51.52
RSSI -54.00
KALMAN -51.54
RSSI -49.00
KALMAN -51.52
RSSI -49.00
KALMAN -51.49
RSSI -56.00
KALMAN -51.54
RSSI -54.00
KALMAN -51.56
RSSI -48.00
KALMAN -51.53
RSSI -48.00
KALMAN -51.49
RSSI -54.00
KALMAN -51.52
RSSI -49.00
KALMAN -51.49
RSSI -54.00
KALMAN -51.52
RSSI -49.00
KALMAN -51.49
RSSI -55.00
KALMAN -51.53
RSSI -47.00
KALMAN -51.48
RSSI -55.00
KALMAN -51.52
RSSI -49.00
KALMAN -51.49
RSSI -47.00
KALMAN -51.45
RSSI -54.00
KALMAN -51.47
RSSI -47.00
KALMAN -51.43
RSSI -53.00
KALMAN -51.44
RSSI -54.00
KALMAN -51.47
RSSI -54.00
KALMAN -51.49
RSSI -49.00
KALMAN -51.47
RSSI -48.00
KALMAN -51.43
RSSI -50.00
KALMAN -51.42
RSSI -54.00
KALMAN -51.45
RSSI -48.00
KALMAN -51.41
RSSI -47.00
KALMAN -51.36
RSSI -50.00
KALMAN -51.35
RSSI -47.00
KALMAN -51.30
RSSI -53.00
KALMAN -51.32
RSSI -48.00
KALMAN -51.29
RSSI -47.00
KALMAN -51.24
RSSI -48.00
KALMAN -51.21
RSSI -55.00
KALMAN -51.25
RSSI -50.00
KALMAN -51.24
RSSI -55.00
KALMAN -51.28
RSSI -50.00
KALMAN -51.26
RSSI -54.00
KALMAN -51.29
RSSI -47.00
KALMAN -51.25
RSSI -55.00
KALMAN -51.28
RSSI -55.00
KALMAN -51.32
RSSI -55.00
KALMAN -51.36
RSSI -50.00
KALMAN -51.35
RSSI -47.00
KALMAN -51.30
RSSI -48.00
KALMAN -51.27
RSSI -49.00
KALMAN -51.24
RSSI -48.00
KALMAN -51.21
RSSI -49.00
KALMAN -51.19
RSSI -56.00
KALMAN -51.24
RSSI -47.00
KALMAN -51.19
RSSI -56.00
KALMAN -51.24
RSSI -50.00
KALMAN -51.23
RSSI -49.00
KALMAN -51.21
RSSI -56.00
KALMAN -51.26
RSSI -55.00
KALMAN -51.30
RSSI -50.00
KALMAN -51.28
RSSI -56.00
KALMAN -51.33
RSSI -55.00
KALMAN -51.37
RSSI -56.00
KALMAN -51.42
RSSI -57.00
KALMAN -51.48
RSSI -48.00
KALMAN -51.45
RSSI -48.00
KALMAN -51.41
RSSI -56.00
KALMAN -51.46
RSSI -47.00
KALMAN -51.41
RSSI -47.00
KALMAN -51.36
RSSI -49.00
KALMAN -51.34
RSSI -50.00
KALMAN -51.32
