.
WiFi connected
IP address: 
192.168.20.30
Scanning...
RSSI -46.00
KALMAN -46.00
RSSI -59.00
KALMAN -46.00
RSSI -45.00
KALMAN -46.00
RSSI -47.00
KALMAN -46.00
RSSI -56.00
KALMAN -46.01
RSSI -53.00
KALMAN -46.01
RSSI -48.00
KALMAN -46.02
RSSI -65.00
KALMAN -46.04
RSSI -72.00
KALMAN -46.06
RSSI -53.00
KALMAN -46.07
RSSI -64.00
KALMAN -46.10
RSSI -48.00
KALMAN -46.10
RSSI -65.00
KALMAN -46.13
RSSI -47.00
KALMAN -46.13
RSSI -47.00
KALMAN -46.13
RSSI -47.00
KALMAN -46.14
RSSI -48.00
KALMAN -46.14
RSSI -66.00
KALMAN -46.18
RSSI -47.00
KALMAN -46.19
RSSI -47.00
KALMAN -46.19
RSSI -61.00
KALMAN -46.23
RSSI -48.00
KALMAN -46.23
RSSI -55.00
KALMAN -46.26
RSSI -56.00
KALMAN -46.28
RSSI -56.00
KALMAN -46.31
RSSI -67.00
KALMAN -46.38
RSSI -69.00
KALMAN -46.45
RSSI -65.00
KALMAN -46.52
RSSI -46.00
KALMAN -46.51
RSSI -48.00
KALMAN -46.52
RSSI -69.00
KALMAN -46.60
RSSI -72.00
KALMAN -46.70
RSSI -74.00
KALMAN -46.81
RSSI -53.00
KALMAN -46.83
RSSI -48.00
KALMAN -46.84
RSSI -47.00
KALMAN -46.84
RSSI -57.00
KALMAN -46.88
RSSI -67.00
KALMAN -46.97
RSSI -68.00
KALMAN -47.07
RSSI -70.00
KALMAN -47.18
RSSI -47.00
KALMAN -47.18
RSSI -47.00
KALMAN -47.17
RSSI -56.00
KALMAN -47.22
RSSI -57.00
KALMAN -47.27
RSSI -47.00
KALMAN -47.27
RSSI -57.00
KALMAN -47.32
RSSI -47.00
KALMAN -47.32
RSSI -65.00
KALMAN -47.41
RSSI -65.00
KALMAN -47.51
RSSI -47.00
KALMAN -47.51
RSSI -67.00
KALMAN -47.62
RSSI -48.00
KALMAN -47.62
RSSI -58.00
KALMAN -47.68
RSSI -57.00
KALMAN -47.74
RSSI -47.00
KALMAN -47.74
RSSI -70.00
KALMAN -47.87
RSSI -54.00
KALMAN -47.91
RSSI -48.00
KALMAN -47.91
RSSI -55.00
KALMAN -47.96
RSSI -55.00
KALMAN -48.00
RSSI -49.00
KALMAN -48.01
RSSI -48.00
KALMAN -48.01
RSSI -48.00
KALMAN -48.01
RSSI -53.00
KALMAN -48.04
RSSI -55.00
KALMAN -48.09
RSSI -49.00
KALMAN -48.10
RSSI -57.00
KALMAN -48.16
RSSI -47.00
KALMAN -48.15
RSSI -51.00
KALMAN -48.17
RSSI -48.00
KALMAN -48.17
RSSI -65.00
KALMAN -48.30
RSSI -66.00
KALMAN -48.43
RSSI -47.00
KALMAN -48.42
RSSI -65.00
KALMAN -48.54
RSSI -55.00
KALMAN -48.59
RSSI -70.00
KALMAN -48.76
RSSI -73.00
KALMAN -48.94
RSSI -54.00
KALMAN -48.98
RSSI -49.00
KALMAN -48.98
RSSI -49.00
KALMAN -48.98
RSSI -66.00
KALMAN -49.12
RSSI -52.00
KALMAN -49.14
RSSI -49.00
KALMAN -49.14
RSSI -65.00
KALMAN -49.27
RSSI -55.00
KALMAN -49.32
RSSI -69.00
KALMAN -49.48
RSSI -47.00
KALMAN -49.46
RSSI -48.00
KALMAN -49.45
RSSI -54.00
KALMAN -49.49
RSSI -47.00
KALMAN -49.47
RSSI -47.00
KALMAN -49.45
RSSI -47.00
KALMAN -49.43
RSSI -56.00
KALMAN -49.48
RSSI -71.00
KALMAN -49.67
RSSI -55.00
KALMAN -49.72
RSSI -69.00
KALMAN -49.89
RSSI -70.00
KALMAN -50.06
RSSI -55.00
KALMAN -50.11
RSSI -56.00
KALMAN -50.16
RSSI -47.00
KALMAN -50.13
RSSI -47.00
KALMAN -50.10
RSSI -55.00
KALMAN -50.15
RSSI -47.00
KALMAN -50.12
RSSI -67.00
KALMAN -50.27
RSSI -46.00
KALMAN -50.23
RSSI -69.00
KALMAN -50.41
RSSI -47.00
KALMAN -50.38
RSSI -71.00
KALMAN -50.57
RSSI -47.00
KALMAN -50.53
RSSI -57.00
KALMAN -50.60
RSSI -57.00
KALMAN -50.66
RSSI -48.00
KALMAN -50.63
RSSI -48.00
KALMAN -50.61
RSSI -47.00
KALMAN -50.57
RSSI -65.00
